Date       ,Time    ,League                ,Season  ,Match Day ,home_team                                   ,away_team ,goal_minute ,team_side ,player_name                 ,goal_type
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,KCCA FC Vs Busoga United FC                 ,          ,35          ,away      ,Shaka Ssozi                 ,Regular
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,KCCA FC Vs Busoga United FC                 ,          ,42          ,away      ,Douglas Bithum              ,Own Goal
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,KCCA FC Vs Busoga United FC                 ,          ,61          ,home      ,Erisa Ssekisambu            ,Regular
30/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Mbarara City FC Vs SC Villa                 ,          ,5           ,home      ,Solomon Ali Okwalinga       ,Regular
18/02/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       18 ,UPDF FC Vs Vipers SC                        ,          ,36          ,home      ,Ivan Ahimbisibwe            ,Penalty
18/02/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       18 ,UPDF FC Vs Vipers SC                        ,          ,75          ,away      ,Paul Mucureezi              ,Regular
20/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       26 ,Soltilo Bright Stars FC Vs Wakiso Giants FC ,          ,40          ,away      ,Joshua Letti Lubwama        ,Own Goal
30/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       23 ,URA FC Vs Arua Hill SC                      ,          ,            ,          ,                            ,
01/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Onduparaka FC Vs Gaddafi FC                 ,          ,            ,          ,                            ,
15/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       21 ,Police FC Vs KCCA FC                        ,          ,4           ,away      ,Ashraf Mugume               ,Regular
15/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       21 ,Police FC Vs KCCA FC                        ,          ,8           ,home      ,Juma Balinya                ,Penalty
20/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       18 ,Gaddafi FC Vs Mbarara City FC               ,          ,90+5        ,home      ,Andrew Waiswa               ,Regular
11/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       17 ,SC Villa Vs Soltilo Bright Stars FC         ,          ,11          ,away      ,Nelson Senkatuka            ,Penalty
11/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       17 ,SC Villa Vs Soltilo Bright Stars FC         ,          ,45+1        ,away      ,Yasin Mugume                ,Regular
11/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       17 ,SC Villa Vs Soltilo Bright Stars FC         ,          ,69          ,home      ,Goffin Godfrey Oyirwoth     ,Regular
21/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       30 ,KCCA FC Vs Wakiso Giants FC                 ,          ,56          ,away      ,Shariph Sheen Kimbowa       ,Regular
21/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       30 ,BUL FC Vs SC Villa                          ,          ,51          ,home      ,Simon Peter Oketch          ,Regular
28/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       13 ,Police FC Vs Soltilo Bright Stars FC        ,          ,12          ,home      ,Juma Balinya                ,Regular
28/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       13 ,Police FC Vs Soltilo Bright Stars FC        ,          ,18          ,home      ,Muwadda Mawejje             ,Regular
28/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       13 ,Police FC Vs Soltilo Bright Stars FC        ,          ,66          ,home      ,Eric Ssenjobe               ,Regular
28/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       13 ,Police FC Vs Soltilo Bright Stars FC        ,          ,75          ,home      ,Herman Wasswa Nteza         ,Regular
28/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       13 ,Police FC Vs Soltilo Bright Stars FC        ,          ,90+3        ,home      ,Emmanuel Mugume             ,Regular
14/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       29 ,URA FC Vs Busoga United FC                  ,          ,14          ,away      ,Anwar Mustafa Ntege         ,Penalty
