Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
29/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Police FC,Maroons FC,18,home,Bedia Djuma Ikamba,Regular
29/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Police FC,Maroons FC,28,home,Bedia Djuma Ikamba,Regular
29/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Police FC,Maroons FC,42,away,Rogers Kiwanuka,Regular
01/11/2025,4:00 pm,Uganda Premier League,2025/26,5,Mbarara City FC,NEC FC,54,away,Allan Mugalu,Regular
05/11/2025,8:00 pm,Uganda Premier League,2025/26,6,Express FC,Mbarara City FC,12,home,Abdulahi Rashid Kawawa,Regular
05/11/2025,8:00 pm,Uganda Premier League,2025/26,6,Express FC,Mbarara City FC,25,home,Richard Basangwa,Regular
05/11/2025,8:00 pm,Uganda Premier League,2025/26,6,Express FC,Mbarara City FC,46,home,Muhammed Kagawa Ssenoga,Regular
05/11/2025,8:00 pm,Uganda Premier League,2025/26,6,Express FC,Mbarara City FC,72,home,Muhammed Kagawa Ssenoga,Regular
05/11/2025,8:00 pm,Uganda Premier League,2025/26,6,Express FC,Mbarara City FC,78,away,Gabriel Eragu,Regular
01/11/2025,4:00 pm,Uganda Premier League,2025/26,5,Entebbe UPPC FC,Vipers SC,62,away,AbdulKarim Watambala,Regular
25/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Entebbe UPPC FC,NEC FC,60,home,Junior Samuel Kawawa,Regular
05/11/2025,4:00 pm,Uganda Premier League,2025/26,6,Maroons FC,URA FC,,,,
04/10/2025,5:00 pm,Uganda Premier League,2025/26,2,Kitara FC,Vipers SC,,,,
17/10/2025,4:00 pm,Uganda Premier League,2025/26,3,Mbarara City FC,BUL FC,35,away,Seiri Arigumaho,Regular
17/10/2025,4:00 pm,Uganda Premier League,2025/26,3,Mbarara City FC,BUL FC,39,home,Ian Amanya,Regular
18/10/2025,8:00 pm,Uganda Premier League,2025/26,3,NEC FC,Police FC,3,home,Mustafa Kizza,Penalty
18/10/2025,8:00 pm,Uganda Premier League,2025/26,3,NEC FC,Police FC,60,home,Dhata Joseph Stephen Lujang,Regular
18/10/2025,8:00 pm,Uganda Premier League,2025/26,3,NEC FC,Police FC,85,away,Charles Bbaale,Regular
18/10/2025,8:00 pm,Uganda Premier League,2025/26,3,NEC FC,Police FC,90+3,away,Umaru Kasumba,Penalty
15/10/2025,4:00 pm,Uganda Premier League,2025/26,3,UPDF FC,Maroons FC,14,away,Dickson Niwamanya,Regular
15/10/2025,4:00 pm,Uganda Premier League,2025/26,3,UPDF FC,Maroons FC,25,away,Ivan Mayanja,Regular
15/10/2025,4:00 pm,Uganda Premier League,2025/26,3,UPDF FC,Maroons FC,53,home,Rashid Faridi,Regular
02/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Police FC,Express FC,28,home,Umaru Kasumba,Regular
02/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Police FC,Express FC,45+2,away,Muhammed Kagawa Ssenoga,Penalty
02/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Police FC,Express FC,77,home,Bedia Djuma Ikamba,Regular
04/10/2025,10:00 am,Uganda Premier League,2025/26,2,Buhimba United Saints FC,Calvary FC,26,home,Anwar Mustafa Ntege,Regular
04/10/2025,10:00 am,Uganda Premier League,2025/26,2,Buhimba United Saints FC,Calvary FC,44,home,Swadik Moro,Regular
23/10/2025,8:00 pm,Uganda Premier League,2025/26,4,Express FC,KCCA FC,71,away,Sammy Raynald Ssebaduka,Regular
15/10/2025,8:00 pm,Uganda Premier League,2025/26,3,SC Villa,Entebbe UPPC FC,28,away,Fazil Tumwine,Regular
15/10/2025,8:00 pm,Uganda Premier League,2025/26,3,SC Villa,Entebbe UPPC FC,83,home,Andrew Otim,Regular
24/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Kitara FC,Mbarara City FC,13,home,Isaac Amutuhaire,Regular
24/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Kitara FC,Mbarara City FC,16,home,Jimmy Kalema,Regular
24/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Kitara FC,Mbarara City FC,23,away,Innocent Wafula Esimu,Regular
24/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Kitara FC,Mbarara City FC,76,away,Henry Kitegenyi,Regular
24/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Kitara FC,Mbarara City FC,90+1,home,Wahab Gadaffi,Penalty
22/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Lugazi FC,URA FC,,,,
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,BUL FC,URA FC,,,,
06/11/2025,4:00 pm,Uganda Premier League,2025/26,6,UPDF FC,Police FC,65,away,Deus Bukenya,Regular
06/11/2025,4:00 pm,Uganda Premier League,2025/26,6,UPDF FC,Police FC,88,home,Rashid Faridi,Regular
06/11/2025,4:00 pm,Uganda Premier League,2025/26,6,UPDF FC,Police FC,89,away,Derrick Maviiri,Regular
06/11/2025,8:00 pm,Uganda Premier League,2025/26,6,SC Villa,Kitara FC,65,home,Frank Ssebuufu,Regular
29/10/2025,7:00 pm,Uganda Premier League,2025/26,5,URA FC,UPDF FC,25,home,Moses Aliro Okabo,Regular
29/10/2025,7:00 pm,Uganda Premier League,2025/26,5,URA FC,UPDF FC,27,away,Samson Andrew Kigozi,Regular
29/10/2025,7:00 pm,Uganda Premier League,2025/26,5,URA FC,UPDF FC,45,home,George Masembe,Regular
29/10/2025,7:00 pm,Uganda Premier League,2025/26,5,URA FC,UPDF FC,54,away,Samuel Kayongo Ssekamatte,Penalty
29/10/2025,7:00 pm,Uganda Premier League,2025/26,5,URA FC,UPDF FC,77,home,Moses Aliro Okabo,Penalty
31/10/2025,8:00 pm,Uganda Premier League,2025/26,5,KCCA FC,Calvary FC,10,home,Ivan Ahimbisibwe,Regular
31/10/2025,8:00 pm,Uganda Premier League,2025/26,5,KCCA FC,Calvary FC,13,home,Umar Lutalo,Regular
31/10/2025,8:00 pm,Uganda Premier League,2025/26,5,KCCA FC,Calvary FC,43,home,Shafik Nana Kwikiriza,Regular
31/10/2025,8:00 pm,Uganda Premier League,2025/26,5,KCCA FC,Calvary FC,47,away,Lawrence Olaboro,Regular
31/10/2025,8:00 pm,Uganda Premier League,2025/26,5,KCCA FC,Calvary FC,63,home,Herbert Achayi,Regular
31/10/2025,8:00 pm,Uganda Premier League,2025/26,5,KCCA FC,Calvary FC,71,away,Stephen Oriokot,Regular
17/10/2025,8:00 pm,Uganda Premier League,2025/26,3,URA FC,Express FC,18,home,Nelson Senkatuka,Regular
17/10/2025,8:00 pm,Uganda Premier League,2025/26,3,URA FC,Express FC,62,away,Muhammed Kagawa Ssenoga,Regular
23/10/2025,4:00 pm,Uganda Premier League,2025/26,4,BUL FC,Buhimba United Saints FC,17,home,Ibrahim Mugulusi,Regular
23/10/2025,4:00 pm,Uganda Premier League,2025/26,4,BUL FC,Buhimba United Saints FC,32,home,Seiri Arigumaho,Regular
23/10/2025,4:00 pm,Uganda Premier League,2025/26,4,BUL FC,Buhimba United Saints FC,39,home,Jeromy Kirya,Regular
30/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Kitara FC,Lugazi FC,10,home,Henry Patrick Kaddu,Regular
30/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Kitara FC,Lugazi FC,45+3,home,Henry Patrick Kaddu,Penalty
30/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Kitara FC,Lugazi FC,51,home,Yunusu Sibira,Regular
30/10/2025,4:00 pm,Uganda Premier League,2025/26,5,Kitara FC,Lugazi FC,87,home,Wahab Gadaffi,Regular
03/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Mbarara City FC,UPDF FC,68,away,Samuel Kayongo Ssekamatte,Regular
04/10/2025,8:00 pm,Uganda Premier League,2025/26,2,KCCA FC,SC Villa,30,home,Ivan Ahimbisibwe,Regular
04/10/2025,8:00 pm,Uganda Premier League,2025/26,2,KCCA FC,SC Villa,60,away,Najib Yiga,Penalty
04/10/2025,8:00 pm,Uganda Premier League,2025/26,2,KCCA FC,SC Villa,88,home,Umar Lutalo,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Police FC,Mbarara City FC,26,home,Abudshakur Ramsey Jemba,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Police FC,Mbarara City FC,76,away,Reagan Matege,Regular
01/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Entebbe UPPC FC,Lugazi FC,24,away,Freedom Mungudit,Regular
01/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Entebbe UPPC FC,Lugazi FC,63,home,Issa Bugembe,Regular
01/10/2025,4:00 pm,Uganda Premier League,2025/26,2,Entebbe UPPC FC,Lugazi FC,83,home,Fazil Tumwine,Regular
16/10/2025,4:00 pm,Uganda Premier League,2025/26,3,Buhimba United Saints FC,Kitara FC,82,home,Edson Agondeze,Regular
22/10/2025,4:00 pm,Uganda Premier League,2025/26,4,Maroons FC,Calvary FC,,,,
24/10/2025,8:00 pm,Uganda Premier League,2025/26,4,SC Villa,Police FC,22,away,Bedia Djuma Ikamba,Regular
24/10/2025,8:00 pm,Uganda Premier League,2025/26,4,SC Villa,Police FC,70,home,Geofrey Gagganga,Regular
24/10/2025,8:00 pm,Uganda Premier League,2025/26,4,SC Villa,Police FC,90+3,home,Charles Lwanga,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Entebbe UPPC FC,Buhimba United Saints FC,13,away,John Wesley Kisaakye,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Lugazi FC,Calvary FC,11,away,Simon Peter Odeke,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Lugazi FC,Calvary FC,19,home,Paul Wasswa,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Lugazi FC,Calvary FC,29,home,Sharif Saaka,Regular
26/09/2025,4:00 pm,Uganda Premier League,2025/26,1,Lugazi FC,Calvary FC,79,home,Ashiraf Mulindi,Regular
