Date      , Time    , Season , Match Day, home_team               , away_team               , goal_minute, team_side, player_name                 , goal_type, has_goal, goal_minute_num, in_added_time, match_id           , round  , match_half
2019-11-05, 4:30 pm , 2019/20,        12, Kyetume FC              , Busoga United FC        , 10         , home     , Noel Nasasira               , Regular  ,        1,            10.0,             0, UPL20/KYE/BUS/05-11, Round 1, First Half
2019-11-05, 4:30 pm , 2019/20,        12, Kyetume FC              , Busoga United FC        , 80         , away     , Dan Ssewava                 , Regular  ,        1,            80.0,             0, UPL20/KYE/BUS/05-11, Round 1, Second Half
2019-11-05, 4:30 pm , 2019/20,        12, Kyetume FC              , Busoga United FC        , 90+2       , home     , Jonathan Mugabi             , Regular  ,        1,            92.0,             1, UPL20/KYE/BUS/05-11, Round 1, Second Half
2019-10-09, 8:00 pm , 2019/20,         8, SC Villa                , Wakiso Giants FC        , 55         , home     , Amir Kakomo                 , Regular  ,        1,            55.0,             0, UPL20/SCV/WAK/09-10, Round 1, Second Half
2019-10-09, 8:00 pm , 2019/20,         8, SC Villa                , Wakiso Giants FC        , 74         , home     , David Owori                 , Regular  ,        1,            74.0,             0, UPL20/SCV/WAK/09-10, Round 1, Second Half
2019-10-22, 4:00 pm , 2019/20,         3, Vipers SC               , BUL FC                  , 21         , home     , Frank Tumwesigye            , Regular  ,        1,            21.0,             0, UPL20/VIP/BUL/22-10, Round 1, First Half
2019-10-22, 4:00 pm , 2019/20,         3, Vipers SC               , BUL FC                  , 26         , home     , Allan Thierry Kayiwa        , Regular  ,        1,            26.0,             0, UPL20/VIP/BUL/22-10, Round 1, First Half
2019-10-22, 4:00 pm , 2019/20,         3, Vipers SC               , BUL FC                  , 30         , away     , Deogratious Ojok            , Regular  ,        1,            30.0,             0, UPL20/VIP/BUL/22-10, Round 1, First Half
2020-01-18, 4:00 pm , 2019/20,        18, Express FC              , Proline FC              , 8          , home     , Dennis Serukwaya            , Penalty  ,        1,             8.0,             0, UPL20/EXP/PRO/18-01, Round 2, First Half
2020-01-18, 4:00 pm , 2019/20,        18, Express FC              , Proline FC              , 10         , away     , Arnold Sserunjoji           , Own Goal ,        1,            10.0,             0, UPL20/EXP/PRO/18-01, Round 2, First Half
2020-01-18, 4:00 pm , 2019/20,        18, Express FC              , Proline FC              , 62         , home     , Ivan Ocholit                , Regular  ,        1,            62.0,             0, UPL20/EXP/PRO/18-01, Round 2, Second Half
2020-02-28, 4:00 pm , 2019/20,        24, SC Villa                , Soltilo Bright Stars FC , 16         , away     , Jamir Kalisa                , Regular  ,        1,            16.0,             0, UPL20/SCV/SOL/28-02, Round 2, First Half
2020-02-28, 4:00 pm , 2019/20,        24, SC Villa                , Soltilo Bright Stars FC , 63         , home     , Emmanuel Alex Wasswa        , Regular  ,        1,            63.0,             0, UPL20/SCV/SOL/28-02, Round 2, Second Half
2020-02-28, 4:00 pm , 2019/20,        24, SC Villa                , Soltilo Bright Stars FC , 74         , home     , Benson Muhindo              , Regular  ,        1,            74.0,             0, UPL20/SCV/SOL/28-02, Round 2, Second Half
2020-02-26, 4:00 pm , 2019/20,        24, Police FC               , KCCA FC                 , 20         , away     , Herbert Achayi              , Regular  ,        1,            20.0,             0, UPL20/POL/KCC/26-02, Round 2, First Half
2019-11-23, 4:00 pm , 2019/20,         5, KCCA FC                 , Kyetume FC              , 22         , home     , Mike Mutyaba                , Regular  ,        1,            22.0,             0, UPL20/KCC/KYE/23-11, Round 1, First Half
2019-11-23, 4:00 pm , 2019/20,         5, KCCA FC                 , Kyetume FC              , 28         , home     , Mustafa Kizza               , Regular  ,        1,            28.0,             0, UPL20/KCC/KYE/23-11, Round 1, First Half
2019-11-23, 4:00 pm , 2019/20,         5, KCCA FC                 , Kyetume FC              , 48         , away     , Steven Sande                , Regular  ,        1,            48.0,             0, UPL20/KCC/KYE/23-11, Round 1, Second Half
2019-11-23, 4:00 pm , 2019/20,         5, KCCA FC                 , Kyetume FC              , 49         , home     , Sam Ssenyonjo               , Regular  ,        1,            49.0,             0, UPL20/KCC/KYE/23-11, Round 1, Second Half
2019-11-23, 4:00 pm , 2019/20,         5, KCCA FC                 , Kyetume FC              , 65         , home     , Muzamiru Mutyaba            , Regular  ,        1,            65.0,             0, UPL20/KCC/KYE/23-11, Round 1, Second Half
