Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
01/11/2022,4:00 pm,Uganda Premier League,2022/23,6,Wakiso Giants FC,URA FC,43,home,Norman Ogik,Regular
01/11/2022,4:00 pm,Uganda Premier League,2022/23,6,Wakiso Giants FC,URA FC,58,away,James Penz Begisa,Regular
01/11/2022,4:00 pm,Uganda Premier League,2022/23,6,Wakiso Giants FC,URA FC,65,home,Moses Aliro Okabo,Regular
23/05/2023,4:00 pm,Uganda Premier League,2022/23,29,SC Villa,Blacks Power FC,46,home,Charles Bbaale,Regular
13/12/2022,2:00 pm,Uganda Premier League,2022/23,13,BUL FC,KCCA FC,11,home,Vincent Zziwa,Regular
13/12/2022,2:00 pm,Uganda Premier League,2022/23,13,BUL FC,KCCA FC,46,away,Julius Poloto,Regular
22/03/2023,4:00 pm,Uganda Premier League,2022/23,19,Blacks Power FC,Wakiso Giants FC,90+2,home,Micheal Siwu Baggio,Regular
04/03/2023,4:00 pm,Uganda Premier League,2022/23,18,BUL FC,URA FC,86,away,Ibrahim Dada,Regular
12/11/2022,2:00 pm,Uganda Premier League,2022/23,7,Onduparaka FC,Busoga United FC,69,away,Laban Tibiita,Regular
07/10/2022,4:00 pm,Uganda Premier League,2022/23,2,Onduparaka FC,SC Villa,,,,
08/11/2022,4:00 pm,Uganda Premier League,2022/23,2,Wakiso Giants FC,Vipers SC,10,home,Ibrahim Kasule,Regular
08/11/2022,4:00 pm,Uganda Premier League,2022/23,2,Wakiso Giants FC,Vipers SC,59,away,Hilary Panuel Mukundane,Regular
19/05/2023,4:00 pm,Uganda Premier League,2022/23,29,Gaddafi FC,UPDF FC,,,,
06/12/2022,4:00 pm,Uganda Premier League,2022/23,12,Arua Hill SC,BUL FC,60,away,Ibrahim Nsimbe,Regular
11/10/2022,4:00 pm,Uganda Premier League,2022/23,3,Maroons FC,Wakiso Giants FC,,,,
25/04/2023,4:00 pm,Uganda Premier League,2022/23,18,Arua Hill SC,Vipers SC,2,away,Abubakar Lawal,Regular
04/03/2023,2:00 pm,Uganda Premier League,2022/23,18,Onduparaka FC,Gaddafi FC,16,home,Ezra Bida,Regular
04/03/2023,2:00 pm,Uganda Premier League,2022/23,18,Onduparaka FC,Gaddafi FC,51,away,Steven Munguchi,Regular
04/03/2023,2:00 pm,Uganda Premier League,2022/23,18,Onduparaka FC,Gaddafi FC,90+1,home,Rashid Okocha,Regular
25/11/2022,2:00 pm,Uganda Premier League,2022/23,9,BUL FC,Busoga United FC,65,home,Abdul Karim Ndugwa,Regular
25/11/2022,2:00 pm,Uganda Premier League,2022/23,9,BUL FC,Busoga United FC,68,home,Ibrahim Mugulusi,Regular
